"Order '%1' was found in Magento and will be updated now.","Order '%1' was found in Magento and will be updated now."
"Exception catched for order '%1' while executing action '%2::%3':\n%4","Exception catched for order '%1' while executing action '%2::%3':\n%4"
"Files have been parsed, however, the prepareImport function complains that there were problems preparing the import data. Stopping import. Make sure your import processor is set up right.","Files have been parsed, however, the prepareImport function complains that there were problems preparing the import data. Stopping import. Make sure your import processor is set up right."
"Row with identifier '%1' was skipped because of 'skip' field configuration XML set up in profile.","Row with identifier '%1' was skipped because of 'skip' field configuration XML set up in profile."
"Notice: %1 | File '%2'","Notice: %1 | File '%2'"
"Exception catched for row with ID '%1' specified in '%2' from source ID '%3':\n%4","Exception catched for row with ID '%1' specified in '%2' from source ID '%3':\n%4"
"Please configure the CSV processor in the configuration section of this import profile. The Order Identifier field may not be empty and must be mapped.","Please configure the CSV processor in the configuration section of this import profile. The Order Identifier field may not be empty and must be mapped."
"Please configure the CSV processor in the configuration section of this import profile. The Field Delimiter may not be empty.","Please configure the CSV processor in the configuration section of this import profile. The Field Delimiter may not be empty."
"""Could not load XML configuration for field "" . . "": "" .","""Could not load XML configuration for field "" . . "": "" ."
"-- Invoice Actions -- ","-- Invoice Actions -- "
"Create invoice for imported order","Create invoice for imported order"
"Send invoice email to customer","Send invoice email to customer"
"Capture payment for invoice (=Capture Online)","Capture payment for invoice (=Capture Online)"
"This will try to capture the payment at the payment gateway, i.e. charge the credit card if you authorized the payment.","This will try to capture the payment at the payment gateway, i.e. charge the credit card if you authorized the payment."
"Set invoice status to ""Paid"" (=Capture Offline)","Set invoice status to ""Paid"" (=Capture Offline)"
"Import partial invoices","Import partial invoices"
"This requires the SKU and quantity fields in the import file to be filled with data. The order will then only get invoiced for the imported SKU and quantity. Otherwise the order will simply be invoiced completely.","This requires the SKU and quantity fields in the import file to be filled with data. The order will then only get invoiced for the imported SKU and quantity. Otherwise the order will simply be invoiced completely."
"-- Shipment Actions -- ","-- Shipment Actions -- "
"Create shipment for imported order","Create shipment for imported order"
"Send shipment email to customer","Send shipment email to customer"
"Import no shipments without tracking numbers","Import no shipments without tracking numbers"
"If set to ""Yes"" orders without tracking numbers will not be imported.","If set to ""Yes"" orders without tracking numbers will not be imported."
"Add tracking numbers to existing shipments & import multiple tracking numbers","Add tracking numbers to existing shipments & import multiple tracking numbers"
"If the import file contains more than one tracking number for one order or if the order has been already shipped, these tracking numbers will get added to the most recent shipment of the order.","If the import file contains more than one tracking number for one order or if the order has been already shipped, these tracking numbers will get added to the most recent shipment of the order."
"Import partial shipments","Import partial shipments"
"This requires the SKU and quantity fields in the import file to be filled with data. The order will then only get shipped for the imported SKU and quantity. Otherwise the order will simply be shipped completely.","This requires the SKU and quantity fields in the import file to be filled with data. The order will then only get shipped for the imported SKU and quantity. Otherwise the order will simply be shipped completely."
"-- Credit Memo Actions -- ","-- Credit Memo Actions -- "
"Create credit memo for imported order","Create credit memo for imported order"
"Send credit memo email to customer","Send credit memo email to customer"
"Return refunded items to stock","Return refunded items to stock"
"Import partial credit memos","Import partial credit memos"
"This requires the SKU and quantity fields in the import file to be filled with data. The order will then only get refunded for the imported SKU and quantity. Otherwise the order will simply be refunded completely.","This requires the SKU and quantity fields in the import file to be filled with data. The order will then only get refunded for the imported SKU and quantity. Otherwise the order will simply be refunded completely."
"-- Order (Status) Actions -- ","-- Order (Status) Actions -- "
"Cancel order","Cancel order"
"This will cancel the order and all items in the order, if it can be cancelled. This is only possible if it has not been invoiced/shipped yet.","This will cancel the order and all items in the order, if it can be cancelled. This is only possible if it has not been invoiced/shipped yet."
"Change order status to the status defined in the ""Order Status"" column in the import file","Change order status to the status defined in the ""Order Status"" column in the import file"
"This will set the order status to whatever status is defined in the Order Status column in the import file.","This will set the order status to whatever status is defined in the Order Status column in the import file."
"Change order status after importing partial order","Change order status after importing partial order"
"If a partial shipped/invoiced order gets imported, change the order status to a specific status.
                Attention: Do not use the ""On Hold"" status for partial shipments, as otherwise no further shipments can be created.","If a partial shipped/invoiced order gets imported, change the order status to a specific status.
                Attention: Do not use the ""On Hold"" status for partial shipments, as otherwise no further shipments can be created."
"Change order status after import (or when order has been completely invoiced/shipped)","Change order status after import (or when order has been completely invoiced/shipped)"
"You can either import the status from the file you are importing (see processor options), or statically change the order status to the status set here after the order has been completely shipped.","You can either import the status from the file you are importing (see processor options), or statically change the order status to the status set here after the order has been completely shipped."
"Send order update email to customer (see help)","Send order update email to customer (see help)"
"If enabled, the order update email will be sent to the customer. This is the same email that also gets sent if you add a comment to an order from the Orders view, so it makes sense especially if you add an order comment. Note, this only works if order update emails are enabled in System - Configuration.","If enabled, the order update email will be sent to the customer. This is the same email that also gets sent if you add a comment to an order from the Orders view, so it makes sense especially if you add an order comment. Note, this only works if order update emails are enabled in System - Configuration."
"-- Order Fields -- ","-- Order Fields -- "
"Order Identifier (Order #, ...) *","Order Identifier (Order #, ...) *"
"This is the field used to identify orders in Magento. Usually the order number, but based on the setting in the Import Settings tab, this may be the invoice number for example too.","This is the field used to identify orders in Magento. Usually the order number, but based on the setting in the Import Settings tab, this may be the invoice number for example too."
"Order Status","Order Status"
"This is mapped to the order status set for the order. This must be a valid order status code seen at System > Order Statuses.","This is mapped to the order status set for the order. This must be a valid order status code seen at System > Order Statuses."
"Order History Comment","Order History Comment"
"Comment that is added into the order status history after the order was updated.","Comment that is added into the order status history after the order was updated."
"-- Shipment Fields -- ","-- Shipment Fields -- "
"Tracking Number","Tracking Number"
"The tracking number added to the imported/updated shpiment","The tracking number added to the imported/updated shpiment"
"The carrier code for the tracking number imported. Make sure this is a valid tracker code, out of the box it is usps, ups, dhl or fedex. If you are using our Custom Carrier Trackers extension, its tracker codes are tracker1 through tracker15.","The carrier code for the tracking number imported. Make sure this is a valid tracker code, out of the box it is usps, ups, dhl or fedex. If you are using our Custom Carrier Trackers extension, its tracker codes are tracker1 through tracker15."
"Shipping Carrier Name","Shipping Carrier Name"
"Shipping Carrier Title for tracking number","Shipping Carrier Title for tracking number"
"-- Credit Memo Fields -- ","-- Credit Memo Fields -- "
"Credit Memo Shipping Amount","Credit Memo Shipping Amount"
"Adjustment Refund","Adjustment Refund"
"Adjustment Fee","Adjustment Fee"
"-- Item Fields -- ","-- Item Fields -- "
"Product Identifier (SKU, ...)","Product Identifier (SKU, ...)"
"Shipped/Invoiced SKU","Shipped/Invoiced SKU"
Quantity,Quantity
"-- Custom Fields -- ","-- Custom Fields -- "
"Custom Field 1","Custom Field 1"
"Used to store custom data. This can be used to map/check data in the actions tab for example.","Used to store custom data. This can be used to map/check data in the actions tab for example."
"Custom Field 2","Custom Field 2"
"Custom Field 3","Custom Field 3"
"Custom Field 4","Custom Field 4"
"Custom Field 5","Custom Field 5"
"Please configure the XML processor in the configuration section of this import profile. The order identifier field may not be empty and must be mapped.","Please configure the XML processor in the configuration section of this import profile. The order identifier field may not be empty and must be mapped."
"Please configure the XML Processor in the configuration section of this import profile. The Data XPath field may not be empty.","Please configure the XML Processor in the configuration section of this import profile. The Data XPath field may not be empty."
"Local Directory","Local Directory"
"FTP Server","FTP Server"
"SFTP Server","SFTP Server"
"HTTP URL Download","HTTP URL Download"
Webservice/API,Webservice/API
"Custom Class","Custom Class"
"Custom class NOT found.","Custom class NOT found."
"Custom class found and ready to use.","Custom class found and ready to use."
"No FTP-SSL functions found. Please compile PHP with SSL support.","No FTP-SSL functions found. Please compile PHP with SSL support."
"No FTP functions found. Please compile PHP with FTP support.","No FTP functions found. Please compile PHP with FTP support."
"Could not connect to FTP server. Please make sure that there is no firewall blocking the outgoing connection to the FTP server and that the timeout is set to a high enough value. If this error keeps occurring, please get in touch with your server hoster / server administrator AND with the server hoster / server administrator of the remote FTP server. A firewall is probably blocking ingoing/outgoing FTP connections.","Could not connect to FTP server. Please make sure that there is no firewall blocking the outgoing connection to the FTP server and that the timeout is set to a high enough value. If this error keeps occurring, please get in touch with your server hoster / server administrator AND with the server hoster / server administrator of the remote FTP server. A firewall is probably blocking ingoing/outgoing FTP connections."
"Could not log into FTP server. Wrong username or password.","Could not log into FTP server. Wrong username or password."
"Could not change directory on FTP server to import directory. Please make sure the directory exists (base path must be exactly the same) and that we have rights to read in the directory.","Could not change directory on FTP server to import directory. Please make sure the directory exists (base path must be exactly the same) and that we have rights to read in the directory."
"Connection with FTP server tested successfully.","Connection with FTP server tested successfully."
"Source ""%1"" (ID: %2): %3","Source ""%1"" (ID: %2): %3"
"Source ""%1"" (ID: %2): Could not get file listing for import directory. You should try enabling Passive Mode in the modules FTP configuration.","Source ""%1"" (ID: %2): Could not get file listing for import directory. You should try enabling Passive Mode in the modules FTP configuration."
"Source ""%1"" (ID: %2): Could not download file ""%3"" from FTP server. Please make sure we've got rights to read the file. You can also try enabling Passive Mode in the configuration section of the extension.","Source ""%1"" (ID: %2): Could not download file ""%3"" from FTP server. Please make sure we've got rights to read the file. You can also try enabling Passive Mode in the configuration section of the extension."
"Source ""%1"" (ID: %2): Could not delete file ""%3%4"" from the FTP import directory after processing it. Please make sure the directory exists and that we have rights to read/write in the directory. Also, make sure the import path is an absolute path, i.e. that it begins with a slash (/).","Source ""%1"" (ID: %2): Could not delete file ""%3%4"" from the FTP import directory after processing it. Please make sure the directory exists and that we have rights to read/write in the directory. Also, make sure the import path is an absolute path, i.e. that it begins with a slash (/)."
"Source ""%1"" (ID: %2): Could not change directory on FTP server to archive directory. Please make sure the directory exists and that we have rights to read/write in the directory. Also, make sure the archive path is an absolute path, i.e. that it begins with a slash (/).","Source ""%1"" (ID: %2): Could not change directory on FTP server to archive directory. Please make sure the directory exists and that we have rights to read/write in the directory. Also, make sure the archive path is an absolute path, i.e. that it begins with a slash (/)."
"Source ""%1"" (ID: %2): Could not move file ""%3%4"" to the FTP archive directory located at ""%5"". Please make sure the directory exists and that we have rights to read/write in the directory. Also, make sure the archive path is an absolute path, i.e. that it begins with a slash (/).","Source ""%1"" (ID: %2): Could not move file ""%3%4"" to the FTP archive directory located at ""%5"". Please make sure the directory exists and that we have rights to read/write in the directory. Also, make sure the archive path is an absolute path, i.e. that it begins with a slash (/)."
"HTTP Download class initialized successfully.","HTTP Download class initialized successfully."
"Source ""%1"" (ID: %2): There was a problem downloading the file ""%3"", probably a firewall is blocking the connection: curl_error: %4","Source ""%1"" (ID: %2): There was a problem downloading the file ""%3"", probably a firewall is blocking the connection: curl_error: %4"
"It is not allowed to load import files from the directory you have specified. Please change the local import directory to be located in the ./var/ folder for example. Do not use the Magento root directory for example.","It is not allowed to load import files from the directory you have specified. Please change the local import directory to be located in the ./var/ folder for example. Do not use the Magento root directory for example."
"It is not allowed to move archived files into the directory you have specified. Please change the archive directory to be located in the ./var/ folder for example. Do not use the Magento root directory for example.","It is not allowed to move archived files into the directory you have specified. Please change the archive directory to be located in the ./var/ folder for example. Do not use the Magento root directory for example."
"The specified local import directory does not exist. Please create this directory or adjust the path. Could not load files from: %1","The specified local import directory does not exist. Please create this directory or adjust the path. Could not load files from: %1"
"Could not open local import directory for reading. Please make sure that we have rights to read in the directory: %1","Could not open local import directory for reading. Please make sure that we have rights to read in the directory: %1"
"Local directory exists and is readable. Connection tested successfully.","Local directory exists and is readable. Connection tested successfully."
"Source ""%1"" (ID: %2): Could not open and read the file ""%3"" in the import directory.","Source ""%1"" (ID: %2): Could not open and read the file ""%3"" in the import directory."
"Source ""%1"" (ID: %2): Could not delete file ""%3%4"" from the local import directory after processing it. Please make sure the directory exists and that we have rights to read/write in the directory.","Source ""%1"" (ID: %2): Could not delete file ""%3%4"" from the local import directory after processing it. Please make sure the directory exists and that we have rights to read/write in the directory."
"Source ""%1"" (ID: %2): Archive directory does not exist. Please make sure the directory exists and that we have rights to read/write in the directory. Could not archive files.","Source ""%1"" (ID: %2): Archive directory does not exist. Please make sure the directory exists and that we have rights to read/write in the directory. Could not archive files."
"Source ""%1"" (ID: %2): Could not move file ""%3%4"" to the local archive directory located at ""%5"". Please make sure the directory exists and that we have rights to read/write in the directory.","Source ""%1"" (ID: %2): Could not move file ""%3%4"" to the local archive directory located at ""%5"". Please make sure the directory exists and that we have rights to read/write in the directory."
"No SFTP functions found. The Net_SFTP class is missing.","No SFTP functions found. The Net_SFTP class is missing."
"Could not connect to SFTP server. Please make sure that there is no firewall blocking the outgoing connection to the SFTP server and that the timeout is set to a high enough value. If this error keeps occurring, please get in touch with your server hoster / server administrator AND with the server hoster / server administrator of the remote SFTP server. A firewall is probably blocking ingoing/outgoing SFTP connections.","Could not connect to SFTP server. Please make sure that there is no firewall blocking the outgoing connection to the SFTP server and that the timeout is set to a high enough value. If this error keeps occurring, please get in touch with your server hoster / server administrator AND with the server hoster / server administrator of the remote SFTP server. A firewall is probably blocking ingoing/outgoing SFTP connections."
"Connection to SFTP server failed (make sure no firewall is blocking the connection). This error could also be caused by a wrong login for the SFTP server.","Connection to SFTP server failed (make sure no firewall is blocking the connection). This error could also be caused by a wrong login for the SFTP server."
"Could not change directory on SFTP server to import directory. Please make sure the directory exists and that we have rights to read in the directory.","Could not change directory on SFTP server to import directory. Please make sure the directory exists and that we have rights to read in the directory."
"Connection with SFTP server tested successfully.","Connection with SFTP server tested successfully."
"Source ""%1"" (ID: %2): Could not download file ""%3"" from SFTP server. Please make sure we've got rights to read the file.","Source ""%1"" (ID: %2): Could not download file ""%3"" from SFTP server. Please make sure we've got rights to read the file."
"Source ""%1"" (ID: %2): Could not delete file ""%3%4"" from the SFTP import directory after processing it. Please make sure the directory exists and that we have rights to read/write in the directory.","Source ""%1"" (ID: %2): Could not delete file ""%3%4"" from the SFTP import directory after processing it. Please make sure the directory exists and that we have rights to read/write in the directory."
"Source ""%1"" (ID: %2): Could not change directory on SFTP server to archive directory. Please make sure the directory exists and that we have rights to read/write in the directory.","Source ""%1"" (ID: %2): Could not change directory on SFTP server to archive directory. Please make sure the directory exists and that we have rights to read/write in the directory."
"Source ""%1"" (ID: %2): Could not move file ""%3%4"" to the SFTP archive directory located at ""%5"". Please make sure the directory exists and that we have rights to read/write in the directory.","Source ""%1"" (ID: %2): Could not move file ""%3%4"" to the SFTP archive directory located at ""%5"". Please make sure the directory exists and that we have rights to read/write in the directory."
"--- Select Frequency ---","--- Select Frequency ---"
"Use ""custom import frequency"" field","Use ""custom import frequency"" field"
"Every 5 minutes","Every 5 minutes"
"Every 10 minutes","Every 10 minutes"
"Every 15 minutes","Every 15 minutes"
"Every 20 minutes","Every 20 minutes"
"Every 30 minutes","Every 30 minutes"
"Every hour","Every hour"
"Every 2 hours","Every 2 hours"
"Daily (at midnight)","Daily (at midnight)"
"Twice Daily (12am, 12pm)","Twice Daily (12am, 12pm)"
"No profiles available. Add and enable import profiles for the %1 entity first.","No profiles available. Add and enable import profiles for the %1 entity first."
Successful,Successful
"Order Increment ID","Order Increment ID"
"Order Entity ID (entity_id, internal Magento ID)","Order Entity ID (entity_id, internal Magento ID)"
"Invoice Increment ID","Invoice Increment ID"
"Shipment Increment ID","Shipment Increment ID"
"Credit Memo Increment ID","Credit Memo Increment ID"
SKU,SKU
"Product ID (entity_id)","Product ID (entity_id)"
"Custom Product Attribute","Custom Product Attribute"
Profile,Profile
"Upload file manually","Upload file manually"
"Test mode (no updates will be imported)","Test mode (no updates will be imported)"
"Show debug messages","Show debug messages"
"Run Import","Run Import"
"Import Debug Results","Import Debug Results"
"Running import... Please wait...","Running import... Please wait..."
"Please fix and re-save profile.","Please fix and re-save profile."
"Import Actions","Import Actions"
"Tools - Export Settings","Tools - Export Settings"
"<b>Note:</b> You can select profiles and sources to export here, and later on import them into another Magento installation for example.","<b>Note:</b> You can select profiles and sources to export here, and later on import them into another Magento installation for example."
"Select Profiles","Select Profiles"
"Select all","Select all"
"Entity: %1","Entity: %1"
"No import profiles found.","No import profiles found."
"Select Sources","Select Sources"
"Type: %1","Type: %1"
"No import sources found.","No import sources found."
"Export Settings","Export Settings"
"Tools - Import Settings","Tools - Import Settings"
"<b>Note:</b> You can upload previously exported settings and import them here. Passwords for sources must be entered again, they won't be imported.","<b>Note:</b> You can upload previously exported settings and import them here. Passwords for sources must be entered again, they won't be imported."
"Update existing profiles if the profile/source name matches","Update existing profiles if the profile/source name matches"
Configure,Configure
"Add after","Add after"
Delete,Delete
"Advanced Configuration","Advanced Configuration"
"Configuration XML","Configuration XML"
"Attention: This needs to be valid XML.","Attention: This needs to be valid XML."
"Show help","Show help"
"Save Configuration","Save Configuration"
"Empty Configuration","Empty Configuration"
"Tracking Number Import Module","Tracking Number Import Module"
"Extension Configuration","Extension Configuration"
"Server Name","Server Name"
"License Key","License Key"
"Module Enabled","Module Enabled"
"Debug Section","Debug Section"
"Debug Mode Enabled","Debug Mode Enabled"
"Debug E-Mail","Debug E-Mail"
"Disable Cronjob Warning","Disable Cronjob Warning"
"Are you sure?","Are you sure?"
"Import ID","Import ID"
"Import Type","Import Type"
Entity,Entity
"Imported Files","Imported Files"
Sources,Sources
"Record Count","Record Count"
Result,Result
"Result Message","Result Message"
"Executed At","Executed At"
Action,Action
"Delete log","Delete log"
"Profile Execution Log","Profile Execution Log"
"Set status to 'Enabled'","Set status to 'Enabled'"
"Set status to 'Disabled'","Set status to 'Disabled'"
"Profile ID","Profile ID"
Processor,Processor
"Profile Status","Profile Status"
1,1
"Last Import","Last Import"
"Last Modification","Last Modification"
"Edit Profile","Edit Profile"
"Enabled For Profile","Enabled For Profile"
"Source ID","Source ID"
Type,Type
"Last Result","Last Result"
